year,beta,se,lb,ub
2011,-.6342523539059651,.055347309,-.7529605,-.51554418
2012,-.7376593953671745,.097988509,-.94782382,-.52749497
2013,-.7465874043663498,.07278318,-.90269178,-.59048301
2014,-.63619790029808,.064837359,-.77526021,-.49713558
2015,-.539846647687932,.056142304,-.6602599,-.41943339
2016,-.4700673480412114,.064493522,-.60839218,-.3317425
2017,-.4815995303461025,.086733371,-.66762412,-.29557496
2018,-.3819556350100997,.059230566,-.50899255,-.25491869
2019,-.448342909784592,.061413124,-.58006096,-.31662485
2020,-.4572564983098888,.073543414,-.61499143,-.29952157
2021,-.606051362117332,.08100377,-.77978718,-.43231556
2022,-.6497587882336751,.076160714,-.81310725,-.48641029
2023,-.8882228113849935,.06974294,-1.0378065,-.73863912
2024,-.9531166132160587,.045810245,-1.0513698,-.85486341
2025,-.8734159350398889,.044563979,-.96899617,-.77783573
