stkcd,year,current_assets,fixed_assets_net,total_assets,current_liabilities,total_liabilities,net_profit,depr_amort,equity_nature_id,never_st,m2,lev,npr,size,tang,lag_total_assets,growth,ndts,soe,liq,m2_growth,industry_name_d,industry_code_d,ind_code_raw,ind_code,lev_raw,npr_raw,tang_raw,growth_raw,ndts_raw,liq_raw
2,2011,282646654855.19,1595862734.0,296208440030.05,200724160315.26,228375901483.02,11599606212.0,113447760.8,1,1.0,85159.09,0.7709972796853848,0.0391602825727154,26.41432923273624,0.0053876342410705,215637551741.83,0.3736403406429077,0.0008900217448312,1.0,1.4081346979419989,17.322971438522305,房地产业,K70,K,K,0.7709972796853848,0.0391602825727154,0.0053876342410705,0.3736403406429077,0.0003829997578343,1.4081346979419989
2,2012,362773737335.37,1612257202.0,378801615075.37,259833566711.09,296663420087.27,15662588423.0,182621025.2,1,1.0,97414.88,0.783163028563759,0.0413477340108056,26.660278461911783,0.0042562046671295,296208440030.05,0.2788346444042615,0.001102016578088,1.0,1.3961773373905135,14.391640399163496,房地产业,K70,K,K,0.783163028563759,0.0413477340108056,0.0042562046671295,0.2788346444042615,0.0004821020236771,1.3961773373905135
2,2013,442046585199.61,2129767863.0,479205323490.54,328921832209.92,373765900091.91,18297549871.0,179235500.2,1,1.0,110652.5,0.7799702586135575,0.0381831106084555,26.89539499280644,0.0044443743810831,378801615075.37,0.2650561782720823,0.0010476144371759,1.0,1.3439259480881558,13.58890962037831,房地产业,K70,K,K,0.7799702586135575,0.0381831106084555,0.0044443743810831,0.2650561782720823,0.0003740265214385,1.3439259480881558
2,2014,464805697453.18,2308351663.0,508408755415.65,345654030971.64,392515138495.68,19287524028.0,548904324.5,1,1.0,122837.48,0.772046378656046,0.0379370414504987,26.95455159762335,0.0045403460078353,479205323490.54,0.0609413762609975,0.0010796515965804,1.0,1.3447136610749262,11.011933756580271,房地产业,K70,K,K,0.772046378656046,0.0379370414504987,0.0045403460078353,0.0609413762609975,0.0010796515965804,1.3447136610749262
2,2015,547024375866.34,4917479161.0,611295567689.29,420061826880.58,474985950368.27,25949438026.0,715806286.7,1,1.0,139227.81,0.7770152042222829,0.0424499037741912,27.138846423323837,0.0080443559890155,508408755415.65,0.2023702604993983,0.0011709659361767,1.0,1.3022472904253075,13.343101795966517,房地产业,K70,K,K,0.7770152042222829,0.0424499037741912,0.0080443559890155,0.2023702604993983,0.0011709659361767,1.3022472904253075
2,2016,721295427853.28,6810793074.0,830674213924.14,579998485463.07,668997642643.14,28350255481.0,1148632099.0,1,1.0,155006.67,0.8053670517624075,0.0341292109539216,27.445503513927846,0.0081991145985205,611295567689.29,0.3588749171928496,0.0013827708622057,1.0,1.2436160540615877,11.333123748768315,房地产业,K70,K,K,0.8053670517624075,0.0341292109539216,0.0081991145985205,0.3588749171928496,0.0013827708622057,1.2436160540615877
2,2017,1017552832148.3,7098808083.0,1165346917804.55,847355429875.81,978672978646.26,37208387330.0,1929038082.0,1,1.0,169023.53,0.8397713227066569,0.0319290219603434,27.78403994214072,0.0060915835229338,830674213924.14,0.4028928529024659,0.0016553337487125,1.0,1.2008571565977153,9.042746354076248,房地产业,K70,K,K,0.8398125602717742,0.0319290219603434,0.0060915835229338,0.4028928529024659,0.0016553337487125,1.2008571565977153
2,2018,1295071856292.37,11533798650.0,1528579356474.81,1121913936785.61,1292958626477.23,49272294535.0,2921936171.0,1,1.0,182674.42,0.8339927981013217,0.0322340441968489,28.055359894806493,0.007545436618089,1165346917804.55,0.3116946834635046,0.0019115371136102,1.0,1.154341535325672,8.076325231167525,房地产业,K70,K,K,0.845856396660383,0.0322340441968489,0.007545436618089,0.3116946834635046,0.0019115371136102,1.154341535325672
2,2019,1438989354552.98,12399838267.0,1729929450401.23,1272610284010.69,1459350334988.27,55131614572.0,6305602169.0,1,1.0,198648.88,0.8229042238975075,0.0318692849348354,28.17910174349181,0.0071678288754053,1528579356474.81,0.1317236773305449,0.0036450053888252,1.0,1.1307384300069765,8.744771161720388,房地产业,K70,K,K,0.8435895086067219,0.0318692849348354,0.0071678288754053,0.1317236773305449,0.0036450053888252,1.1307384300069765
2,2020,1547387061234.69,12577342742.0,1869177094005.55,1317492688869.78,1519332620662.33,59298116445.0,6984906139.0,1,1.0,218679.59,0.8128350307388363,0.0317241831366161,28.256519393260163,0.0067288127927179,1729929450401.23,0.0804932499253213,0.003736888367293,1.0,1.1744938505595248,10.083474923191105,房地产业,K70,K,K,0.8128350307388363,0.0317241831366161,0.0067288127927179,0.0804932499253213,0.003736888367293,1.1744938505595248
